source_id,solution_id,ra,dec,wavelength,flux,flux_error,combined_transits,combined_ccds,deblended_ccds
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.76,0.97795403,0.005941772,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.77,0.97738737,0.0066754483,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.78,0.97697705,0.00613409,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.79,0.97724277,0.0065791383,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.8,0.97811526,0.0064740693,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.81,0.97652537,0.004717806,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.82,0.9744024,0.0048550875,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.83,0.977621,0.005109114,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.84,0.9810668,0.0062686075,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.85,0.98052007,0.0068052197,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.86,0.97595656,0.0061860494,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.87,0.9755953,0.006201925,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.88,0.98209304,0.00604183,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.89,0.9911328,0.006755342,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.9,0.99753577,0.007183364,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.91,0.9992454,0.0069257426,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.92,0.9973476,0.0065783695,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.93,0.9965807,0.0061568893,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.94,0.9955889,0.0063132457,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.95,0.99149615,0.0066203782,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.96,0.9883201,0.006643541,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.97,0.9829999,0.0063288636,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.98,0.9839835,0.0057948683,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.99,0.98454684,0.0066298884,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.0,0.9826851,0.005374481,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.01,0.97775626,0.00553153,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.02,0.96352404,0.006091665,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.03,0.9332052,0.00655534,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.04,0.894392,0.008029417,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.05,0.85239816,0.0071024606,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.06,0.81602854,0.005911688,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.07,0.80103374,0.005510494,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.08,0.8113789,0.0053410735,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.09,0.8358333,0.00618239,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.1,0.867726,0.0058427625,16,38,10
